"","Nyears","startPop","noise","nbreaksin","nbreaksout","startK","startR","changeK","changeR","victory"
"1859",25,3000,80,3,4,2000,2,40,20,0
"1860",25,3000,80,3,3,2000,2,40,20,4
"1861",25,3000,80,0,1,2000,2,40,20,0
"1862",25,3000,80,0,0,2000,2,40,20,1
"1863",25,3000,80,0,0,2000,2,40,20,1
"1864",25,3000,80,0,1,2000,2,40,20,0
"1865",25,3000,80,0,2,2000,2,40,20,0
"1866",25,3000,80,1,2,2000,2,40,20,0
"1867",25,3000,80,1,1,2000,2,40,20,0
"1868",25,3000,80,1,2,2000,2,40,20,0
"1869",25,3000,80,1,2,2000,2,40,20,0
"1870",25,3000,80,1,0,2000,2,40,20,0
"1871",25,3000,80,2,2,2000,2,40,20,4
"1872",25,3000,80,2,1,2000,2,40,20,0
"1873",25,3000,80,2,2,2000,2,40,20,4
"1874",25,3000,80,2,1,2000,2,40,20,0
"1875",25,3000,80,2,1,2000,2,40,20,0
"1876",25,3000,80,3,1,2000,2,40,20,0
"1877",25,3000,80,3,1,2000,2,40,20,0
"1878",25,3000,80,3,3,2000,2,40,20,4
"1879",25,3000,80,3,2,2000,2,40,20,1
"1880",25,3000,80,3,3,2000,2,40,20,4
"1881",25,3000,80,0,0,2000,2,40,20,1
"1882",25,3000,80,0,0,2000,2,40,20,1
"1883",25,3000,80,0,2,2000,2,40,20,0
"1884",25,3000,80,0,3,2000,2,40,20,0
"1885",25,3000,80,0,3,2000,2,40,20,0
"1886",25,3000,80,1,1,2000,2,40,20,0
"1887",25,3000,80,1,2,2000,2,40,20,0
"1888",25,3000,80,1,3,2000,2,40,20,2
"1889",25,3000,80,1,1,2000,2,40,20,0
"1890",25,3000,80,1,2,2000,2,40,20,0
"1891",25,3000,80,2,2,2000,2,40,20,4
"1892",25,3000,80,2,1,2000,2,40,20,0
"1893",25,3000,80,2,2,2000,2,40,20,0
"1894",25,3000,80,2,1,2000,2,40,20,0
"1895",25,3000,80,2,0,2000,2,40,20,0
"1896",25,3000,80,3,4,2000,2,40,20,2
"1897",25,3000,80,3,1,2000,2,40,20,1
"1898",25,3000,80,3,2,2000,2,40,20,1
"1899",25,3000,80,3,2,2000,2,40,20,3
"1900",25,3000,80,3,3,2000,2,40,20,0
"1901",25,3000,80,0,0,2000,2,40,20,1
"1902",25,3000,80,0,2,2000,2,40,20,0
"1903",25,3000,80,0,1,2000,2,40,20,0
"1904",25,3000,80,0,3,2000,2,40,20,0
"1905",25,3000,80,0,0,2000,2,40,20,1
"1906",25,3000,80,1,2,2000,2,40,20,2
"1907",25,3000,80,1,0,2000,2,40,20,0
"1908",25,3000,80,1,2,2000,2,40,20,0
"1909",25,3000,80,1,1,2000,2,40,20,0
"1910",25,3000,80,1,1,2000,2,40,20,0
"1911",25,3000,80,2,2,2000,2,40,20,0
"1912",25,3000,80,2,2,2000,2,40,20,0
"1913",25,3000,80,2,2,2000,2,40,20,0
"1914",25,3000,80,2,2,2000,2,40,20,0
"1915",25,3000,80,2,2,2000,2,40,20,4
"1916",25,3000,80,3,3,2000,2,40,20,4
"1917",25,3000,80,3,2,2000,2,40,20,0
"1918",25,3000,80,3,2,2000,2,40,20,3
"1919",25,3000,80,3,2,2000,2,40,20,3
"1920",25,3000,80,3,3,2000,2,40,20,0
"1921",25,3000,80,0,2,2000,2,40,20,0
"1922",25,3000,80,0,0,2000,2,40,20,1
"1923",25,3000,80,0,0,2000,2,40,20,1
"1924",25,3000,80,0,2,2000,2,40,20,0
"1925",25,3000,80,0,0,2000,2,40,20,1
"1926",25,3000,80,1,2,2000,2,40,20,0
"1927",25,3000,80,1,1,2000,2,40,20,1
"1928",25,3000,80,1,4,2000,2,40,20,2
"1929",25,3000,80,1,2,2000,2,40,20,0
"1930",25,3000,80,1,1,2000,2,40,20,0
"1931",25,3000,80,2,2,2000,2,40,20,1
