"","Nyears","startPop","noise","nbreaksin","startK","startR","changeK","changeR","rightweight","wrongweight","rightmin","wrongmax"
"1",15,3000,2,0,2000,2,75,25,1,0.0173763634876123,1,0.053930383948448
"2",15,3000,2,1,2000,2,75,25,1,0.0161487829282553,1,0.0161487829282553
"3",15,3000,2,2,2000,2,75,25,1,0,1,0
"4",15,3000,2,2,2000,2,75,25,1,0,1,0
"5",20,3000,2,0,2000,2,75,25,1,0.121172892799863,1,0.637865619588935
"6",20,3000,2,1,2000,2,75,25,1,1,1,1
"7",20,3000,2,2,2000,2,75,25,1,0,1,0
"8",20,3000,2,2,2000,2,75,25,1,0,1,0
"9",25,3000,2,0,2000,2,75,25,1,0.0719752895667629,1,0.522636515822071
"10",25,3000,2,1,2000,2,75,25,1,0.184502785797164,1,0.960028886750656
"11",25,3000,2,2,2000,2,75,25,1,0.434159285866173,1,0.84711812294526
"12",25,3000,2,3,2000,2,75,25,1,0,1,0
"13",30,3000,2,0,2000,2,75,25,1,0.0424066325439374,1,0.109639312428029
"14",30,3000,2,1,2000,2,75,25,1,0.0611085539364413,1,0.4938354838044
"15",30,3000,2,2,2000,2,75,25,1,0.00994558785144786,1,0.0311407044316698
"16",30,3000,2,3,2000,2,75,25,0.996128198235782,0.0116154052926529,0.988384594707347,0.0116154052926529
"17",20,3000,2,0,2000,-0.5,75,0,1,0,1,0
"18",20,3000,2,1,2000,-0.5,75,0,1,0,1,0
"19",20,3000,2,2,2000,-0.5,75,0,1,0,1,0
"20",20,3000,2,3,2000,-0.5,75,0,1,0,1,0
"21",20,3000,2,0,2000,-0.5,75,10,1,0,1,0
"22",20,3000,2,1,2000,-0.5,75,10,1,0,1,0
"23",20,3000,2,2,2000,-0.5,75,10,1,0,1,0
"24",20,3000,2,3,2000,-0.5,75,10,1,0,1,0
"25",20,3000,2,0,2000,-0.5,75,25,1,0,1,0
"26",20,3000,2,1,2000,-0.5,75,25,1,0,1,0
"27",20,3000,2,2,2000,-0.5,75,25,1,0,1,0
"28",20,3000,2,3,2000,-0.5,75,25,1,0,1,0
"29",20,3000,2,0,2000,-0.5,75,50,1,0,1,0
"30",20,3000,2,1,2000,-0.5,75,50,1,0,1,0
"31",20,3000,2,2,2000,-0.5,75,50,1,0,1,0
"32",20,3000,2,3,2000,-0.5,75,50,1,0,1,0
"33",20,3000,2,0,2000,-0.5,75,75,1,0,1,0
"34",20,3000,2,1,2000,-0.5,75,75,1,0,1,0
"35",20,3000,2,2,2000,-0.5,75,75,1,0,1,0
"36",20,3000,2,3,2000,-0.5,75,75,1,0,1,0
"37",20,3000,2,0,2000,-0.5,0,25,1,0,1,0
"38",20,3000,2,1,2000,-0.5,0,25,1,0,1,0
"39",20,3000,2,2,2000,-0.5,0,25,1,0,1,0
"40",20,3000,2,3,2000,-0.5,0,25,1,0,1,0
"41",20,3000,2,0,2000,-0.5,10,25,1,0,1,0
"42",20,3000,2,1,2000,-0.5,10,25,1,0,1,0
"43",20,3000,2,2,2000,-0.5,10,25,1,0,1,0
"44",20,3000,2,2,2000,-0.5,10,25,1,0,1,0
"45",20,3000,2,0,2000,-0.5,25,25,1,0,1,0
"46",20,3000,2,1,2000,-0.5,25,25,1,0,1,0
"47",20,3000,2,2,2000,-0.5,25,25,1,0,1,0
"48",20,3000,2,3,2000,-0.5,25,25,1,0,1,0
"49",20,3000,2,0,2000,-0.5,50,25,1,0,1,0
"50",20,3000,2,1,2000,-0.5,50,25,1,0,1,0
"51",20,3000,2,2,2000,-0.5,50,25,1,0,1,0
"52",20,3000,2,3,2000,-0.5,50,25,1,0,1,0
"53",20,3000,2,0,2000,-0.5,75,25,1,0,1,0
"54",20,3000,2,1,2000,-0.5,75,25,1,0,1,0
"55",20,3000,2,2,2000,-0.5,75,25,1,0,1,0
"56",20,3000,2,3,2000,-0.5,75,25,1,0,1,0
"57",20,3000,2,0,2000,0.5,75,0,1,0.186818189770852,1,0.756704173174377
"58",20,3000,2,1,2000,0.5,75,0,1,0.00449551587110034,1,0.0121363128092924
"59",20,3000,2,2,2000,0.5,75,0,1,0,1,0
"60",20,3000,2,3,2000,0.5,75,0,1,0.381585223974355,1,0.74374331096812
"61",20,3000,2,0,2000,0.5,75,10,1,0.0566568248406777,1,0.656170225629549
"62",20,3000,2,1,2000,0.5,75,10,1,0.00227311444691779,1,0.00364150427289329
"63",20,3000,2,2,2000,0.5,75,10,1,0,1,0
"64",20,3000,2,3,2000,0.5,75,10,0.998156997255501,0,0.994470991766504,0
"65",20,3000,2,0,2000,0.5,75,25,1,0.0564073121503937,1,0.169706830479451
"66",20,3000,2,1,2000,0.5,75,25,1,0.00206789986965737,1,0.00206789986965737
"67",20,3000,2,2,2000,0.5,75,25,1,0,1,0
"68",20,3000,2,3,2000,0.5,75,25,0.986691195475845,0.00689525634626511,0.974857895863916,0.0131107064771913
"69",20,3000,2,0,2000,0.5,75,50,1,0.0261808999974894,1,0.198696688582051
"70",20,3000,2,1,2000,0.5,75,50,1,0.00942635264451646,1,0.04766055038337
"71",20,3000,2,2,2000,0.5,75,50,0.905502637499347,0.0936945276664282,0.812610944667144,0.182449649365364
"72",20,3000,2,3,2000,0.5,75,50,0.998972513051316,0.00205497389736805,0.997945026102632,0.00205497389736805
"73",20,3000,2,0,2000,0.5,75,75,1,0.0145448411033514,1,0.0816443721135129
"74",20,3000,2,1,2000,0.5,75,75,1,0.00197731355006549,1,0.00378772611634269
"75",20,3000,2,2,2000,0.5,75,75,0.9714091853675,0.00953027154416683,0.942818370734999,0.0333487404453077
"76",20,3000,2,2,2000,0.5,75,75,1,0,1,0
"77",20,3000,2,0,2000,0.5,0,25,1,0.0703546201936708,1,0.615049026084123
"78",20,3000,2,1,2000,0.5,0,25,0.0133278849990062,0.0459362487078468,0.0133278849990062,0.263028492783041
"79",20,3000,2,2,2000,0.5,0,25,0.00384266230054162,0.0834677012077432,0.00239554144408757,0.610360497942609
"80",20,3000,2,3,2000,0.5,0,25,0.0570522710310527,0.0627685328233042,0.0442894174211586,0.361721138597343
"81",20,3000,2,0,2000,0.5,10,25,1,0.058979295636799,1,0.688639081453309
"82",20,3000,2,1,2000,0.5,10,25,0.151727013191849,0.101705941376562,0.151727013191849,0.407219327182249
