"","Nyears","startPop","noise","nbreaksin","startK","startR","changeK","changeR","rightweight","wrongweight","rightmin","wrongmax"
"1",15,3000,2,0,2000,2,75,25,1,0.00294555306884067,1,0.00497245688932801
"2",15,3000,2,1,2000,2,75,25,1,0,1,0
"3",15,3000,2,2,2000,2,75,25,1,0,1,0
"4",15,3000,2,2,2000,2,75,25,1,0,1,0
"5",20,3000,2,0,2000,2,75,25,1,0.0254025872291509,1,0.0849832152143798
"6",20,3000,2,1,2000,2,75,25,1,0.496109901864154,1,0.991005487536438
"7",20,3000,2,2,2000,2,75,25,1,0,1,0
"8",20,3000,2,3,2000,2,75,25,1,1,1,1
"9",25,3000,2,0,2000,2,75,25,1,0.0473695377593216,1,0.489530812359815
"10",25,3000,2,1,2000,2,75,25,1,0.019769650848705,1,0.0597104009253976
"11",25,3000,2,2,2000,2,75,25,1,0.00181315179565652,1,0.00202739297639713
"12",25,3000,2,3,2000,2,75,25,0.920924061583218,0.237227815250345,0.762772184749655,0.237227815250345
"13",30,3000,2,0,2000,2,75,25,1,0.0530784786619113,1,0.527244346289538
"14",30,3000,2,1,2000,2,75,25,1,0.0576508508804572,1,0.375377680785051
"15",30,3000,2,2,2000,2,75,25,1,0.0354633712949003,1,0.101201389242665
"16",30,3000,2,3,2000,2,75,25,0.730136644427406,0.405425813263762,0.190409933282219,0.809590066717781
"17",20,3000,2,0,2000,-0.5,75,0,1,0,1,0
"18",20,3000,2,1,2000,-0.5,75,0,1,0,1,0
"19",20,3000,2,2,2000,-0.5,75,0,1,0,1,0
"20",20,3000,2,3,2000,-0.5,75,0,1,0,1,0
"21",20,3000,2,0,2000,-0.5,75,10,1,0,1,0
"22",20,3000,2,1,2000,-0.5,75,10,1,0,1,0
"23",20,3000,2,2,2000,-0.5,75,10,1,0,1,0
"24",20,3000,2,3,2000,-0.5,75,10,1,0,1,0
"25",20,3000,2,0,2000,-0.5,75,25,1,0,1,0
"26",20,3000,2,1,2000,-0.5,75,25,1,0,1,0
"27",20,3000,2,2,2000,-0.5,75,25,1,0,1,0
"28",20,3000,2,3,2000,-0.5,75,25,1,0,1,0
"29",20,3000,2,0,2000,-0.5,75,50,1,0,1,0
"30",20,3000,2,1,2000,-0.5,75,50,1,0,1,0
"31",20,3000,2,2,2000,-0.5,75,50,1,0,1,0
"32",20,3000,2,3,2000,-0.5,75,50,1,0,1,0
"33",20,3000,2,0,2000,-0.5,75,75,1,0,1,0
"34",20,3000,2,1,2000,-0.5,75,75,1,0,1,0
"35",20,3000,2,2,2000,-0.5,75,75,1,0,1,0
"36",20,3000,2,2,2000,-0.5,75,75,1,0,1,0
"37",20,3000,2,0,2000,-0.5,0,25,1,0,1,0
"38",20,3000,2,1,2000,-0.5,0,25,1,0,1,0
"39",20,3000,2,2,2000,-0.5,0,25,1,0,1,0
"40",20,3000,2,3,2000,-0.5,0,25,1,0,1,0
"41",20,3000,2,0,2000,-0.5,10,25,1,0,1,0
"42",20,3000,2,1,2000,-0.5,10,25,1,0,1,0
"43",20,3000,2,2,2000,-0.5,10,25,1,0,1,0
"44",20,3000,2,2,2000,-0.5,10,25,1,0,1,0
"45",20,3000,2,0,2000,-0.5,25,25,1,0,1,0
"46",20,3000,2,1,2000,-0.5,25,25,1,0,1,0
"47",20,3000,2,2,2000,-0.5,25,25,1,0,1,0
"48",20,3000,2,3,2000,-0.5,25,25,1,0,1,0
"49",20,3000,2,0,2000,-0.5,50,25,1,0,1,0
"50",20,3000,2,1,2000,-0.5,50,25,1,0,1,0
"51",20,3000,2,2,2000,-0.5,50,25,1,0,1,0
"52",20,3000,2,2,2000,-0.5,50,25,1,0,1,0
"53",20,3000,2,0,2000,-0.5,75,25,1,0,1,0
"54",20,3000,2,1,2000,-0.5,75,25,1,0,1,0
"55",20,3000,2,2,2000,-0.5,75,25,1,0,1,0
"56",20,3000,2,3,2000,-0.5,75,25,1,0,1,0
"57",20,3000,2,0,2000,0.5,75,0,1,0.0415275849681341,1,0.169933796176705
"58",20,3000,2,1,2000,0.5,75,0,1,0.00992472139518113,1,0.0244224662882606
"59",20,3000,2,2,2000,0.5,75,0,1,0,1,0
"60",20,3000,2,2,2000,0.5,75,0,0.997964755105024,0.00407048978995118,0.995929510210049,0.00407048978995118
"61",20,3000,2,0,2000,0.5,75,10,1,0.0469962790699827,1,0.52981995493444
"62",20,3000,2,1,2000,0.5,75,10,1,0.0020993422625139,1,0.00278838023616512
"63",20,3000,2,2,2000,0.5,75,10,0.996642626356908,0.00671474728618433,0.993285252713816,0.00671474728618433
"64",20,3000,2,3,2000,0.5,75,10,0.664570534234924,0.0388692113021758,0.549033407212639,0.205618048844925
"65",20,3000,2,0,2000,0.5,75,25,1,0.0265976177189519,1,0.182441592127955
"66",20,3000,2,1,2000,0.5,75,25,1,0.0126780167510619,1,0.0266895822057558
"67",20,3000,2,2,2000,0.5,75,25,1,0,1,0
"68",20,3000,2,3,2000,0.5,75,25,0.504966970939252,0.990066058121496,0.00993394187850378,0.990066058121496
"69",20,3000,2,0,2000,0.5,75,50,1,0.0253841650574071,1,0.164417312513327
"70",20,3000,2,1,2000,0.5,75,50,1,0.00323604332662737,1,0.00643359490464169
"71",20,3000,2,2,2000,0.5,75,50,1,0,1,0
"72",20,3000,2,3,2000,0.5,75,50,0.760204443699557,0.120038293578741,0.520408887399113,0.414350736766684
"73",20,3000,2,0,2000,0.5,75,75,1,0.0650504114583434,1,0.282873523363675
"74",20,3000,2,1,2000,0.5,75,75,0.605529578882868,0.0893099705891316,0.605529578882868,0.260024744620529
"75",20,3000,2,2,2000,0.5,75,75,1,0.216265033075659,1,0.803446523840048
"76",20,3000,2,3,2000,0.5,75,75,0.116507082221333,0.148563838700648,0.116507082221333,0.82824785978669
"77",20,3000,2,0,2000,0.5,0,25,1,0.0178242902460812,1,0.083886298064342
"78",20,3000,2,1,2000,0.5,0,25,0.0103804959655559,0.0915515135685722,0.0103804959655559,0.516840788599098
"79",20,3000,2,2,2000,0.5,0,25,0.371558448202006,0.0095085637096277,0.00346393381613506,0.0269589622194558
"80",20,3000,2,3,2000,0.5,0,25,0.0148676561604562,0.0562217340971207,0.00219361750148552,0.144284660259785
"81",20,3000,2,0,2000,0.5,10,25,1,0.0568722934576047,1,0.209108437019256
"82",20,3000,2,1,2000,0.5,10,25,0.489742096214198,0.24903576145391,0.489742096214198,0.741839080121906
"83",20,3000,2,2,2000,0.5,10,25,0.145380607693461,0.041105996362958,0.12952268156982,0.110995331171283
"84",20,3000,2,3,2000,0.5,10,25,0.763096626430273,0.034336833436529,0.538774263781937,0.150925443472084
"85",20,3000,2,0,2000,0.5,25,25,1,0.0155690055623954,1,0.0843508622677809
"86",20,3000,2,1,2000,0.5,25,25,1,0.330996522064085,1,0.989671156965213
"87",20,3000,2,2,2000,0.5,25,25,0.578531224691162,0.0567768060400284,0.52619281079716,0.432452947530868
"88",20,3000,2,3,2000,0.5,25,25,0.607790229822202,0.0458882906457638,0.00910205857307613,0.101691180626566
"89",20,3000,2,0,2000,0.5,50,25,1,0.0194306493349719,1,0.0940453395478486
"90",20,3000,2,1,2000,0.5,50,25,1,0.00972106970651899,1,0.0228383912017632
"91",20,3000,2,2,2000,0.5,50,25,1,0,1,0
"92",20,3000,2,3,2000,0.5,50,25,0.699756950117001,0.00232832154245603,0.101599171893459,0.00232832154245603
"93",20,3000,2,0,2000,0.5,75,25,1,0.0123906131784236,1,0.0397067472218852
"94",20,3000,2,1,2000,0.5,75,25,1,0.00780007438072574,1,0.0135156833491229
"95",20,3000,2,2,2000,0.5,75,25,0.686433566893606,0.00657479138040678,0.386016716548026,0.011515498807188
"96",20,3000,2,3,2000,0.5,75,25,0.725734708181532,0.0220776292188918,0.221359382982379,0.0402820214587103
"97",20,3000,2,0,2000,1,75,0,1,0.0392776124813395,1,0.157531693579323
"98",20,3000,2,1,2000,1,75,0,1,0.00269635041937777,1,0.00455185888901071
"99",20,3000,2,2,2000,1,75,0,1,0,1,0
"100",20,3000,2,2,2000,1,75,0,1,0,1,0
"101",20,3000,2,0,2000,1,75,10,1,0.0115899262243692,1,0.0362885631432503
"102",20,3000,2,1,2000,1,75,10,1,0.00443504802449298,1,0.0111011217994004
"103",20,3000,2,2,2000,1,75,10,1,0,1,0
"104",20,3000,2,3,2000,1,75,10,0.998116564955095,0.00376687008981078,0.996233129910189,0.00376687008981078
"105",20,3000,2,0,2000,1,75,25,1,0.0290409557059704,1,0.122788438706059
"106",20,3000,2,1,2000,1,75,25,1,0.00135267363378557,1,0.00167109755758114
"107",20,3000,2,2,2000,1,75,25,1,0,1,0
"108",20,3000,2,3,2000,1,75,25,1,0,1,0
"109",20,3000,2,0,2000,1,75,50,1,0.0323732380611594,1,0.249185580190048
"110",20,3000,2,1,2000,1,75,50,1,0.284733934774413,1,0.788141699513189
"111",20,3000,2,2,2000,1,75,50,0.506215460562909,0.0458018657706444,0.0225048730802506,0.118457905791595
"112",20,3000,2,3,2000,1,75,50,0.666666666666667,0.224012377846081,0.0150156534209946,0.358503753304405
"113",20,3000,2,0,2000,1,75,75,1,0.075859592280909,1,0.877898798239195
"114",20,3000,2,1,2000,1,75,75,1,0.00329812722098255,1,0.00751446018262647
"115",20,3000,2,2,2000,1,75,75,1,0,1,0
"116",20,3000,2,2,2000,1,75,75,0.915421280888071,0.169157438223859,0.830842561776141,0.169157438223859
"117",20,3000,2,0,2000,1,0,25,1,0.476705586523439,1,0.952281456435875
"118",20,3000,2,1,2000,1,0,25,0.0280387655535107,0.0619468303786881,0.0280387655535107,0.209172080845077
