"","Nyears","startPop","noise","nbreaksin","startK","startR","changeK","changeR","rightweight","wrongweight","rightmin","wrongmax"
"1",15,3000,2,0,2000,2,75,25,1,0.0768778167539045,1,0.54285669679538
"2",15,3000,2,1,2000,2,75,25,1,0,1,0
"3",15,3000,2,1,2000,2,75,25,1,0,1,0
"4",15,3000,2,2,2000,2,75,25,1,0.5,1,0.99077227036262
"5",20,3000,2,0,2000,2,75,25,1,0.0815236958205509,1,0.275659217610823
"6",20,3000,2,1,2000,2,75,25,1,0.0016598785512618,1,0.0021809388564109
"7",20,3000,2,2,2000,2,75,25,1,0,1,0
"8",20,3000,2,3,2000,2,75,25,1,0,1,0
"9",25,3000,2,0,2000,2,75,25,1,0.0831384659911948,1,0.443712768350153
"10",25,3000,2,1,2000,2,75,25,1,0.00422663343429647,1,0.0137589887417936
"11",25,3000,2,2,2000,2,75,25,1,0.00351027483131396,1,0.00556233464660383
"12",25,3000,2,3,2000,2,75,25,1,0,1,0
"13",30,3000,2,0,2000,2,75,25,1,0.028588220165662,1,0.160694680924597
"14",30,3000,2,1,2000,2,75,25,1,0.00646224135576863,1,0.0191018884700475
"15",30,3000,2,2,2000,2,75,25,1,0.108570319831294,1,0.626610384390016
"16",30,3000,2,3,2000,2,75,25,1,0.0965102487923225,1,0.246747096087783
"17",20,3000,2,0,2000,-0.5,75,0,1,0,1,0
"18",20,3000,2,1,2000,-0.5,75,0,1,0,1,0
"19",20,3000,2,2,2000,-0.5,75,0,1,0,1,0
"20",20,3000,2,3,2000,-0.5,75,0,1,0,1,0
"21",20,3000,2,0,2000,-0.5,75,10,1,0,1,0
"22",20,3000,2,1,2000,-0.5,75,10,1,0,1,0
"23",20,3000,2,2,2000,-0.5,75,10,1,0,1,0
"24",20,3000,2,3,2000,-0.5,75,10,1,0,1,0
"25",20,3000,2,0,2000,-0.5,75,25,1,0,1,0
"26",20,3000,2,1,2000,-0.5,75,25,1,0,1,0
"27",20,3000,2,2,2000,-0.5,75,25,1,0,1,0
"28",20,3000,2,3,2000,-0.5,75,25,1,0,1,0
"29",20,3000,2,0,2000,-0.5,75,50,1,0,1,0
"30",20,3000,2,1,2000,-0.5,75,50,1,0,1,0
"31",20,3000,2,2,2000,-0.5,75,50,1,0,1,0
"32",20,3000,2,3,2000,-0.5,75,50,1,0,1,0
"33",20,3000,2,0,2000,-0.5,75,75,1,0,1,0
"34",20,3000,2,1,2000,-0.5,75,75,1,0,1,0
"35",20,3000,2,2,2000,-0.5,75,75,1,0,1,0
"36",20,3000,2,3,2000,-0.5,75,75,1,0,1,0
"37",20,3000,2,0,2000,-0.5,0,25,1,0,1,0
"38",20,3000,2,1,2000,-0.5,0,25,1,0,1,0
"39",20,3000,2,2,2000,-0.5,0,25,1,0,1,0
"40",20,3000,2,3,2000,-0.5,0,25,1,0,1,0
"41",20,3000,2,0,2000,-0.5,10,25,1,0,1,0
"42",20,3000,2,1,2000,-0.5,10,25,1,0,1,0
"43",20,3000,2,2,2000,-0.5,10,25,1,0,1,0
"44",20,3000,2,3,2000,-0.5,10,25,1,0,1,0
"45",20,3000,2,0,2000,-0.5,25,25,1,0,1,0
"46",20,3000,2,1,2000,-0.5,25,25,1,0,1,0
"47",20,3000,2,2,2000,-0.5,25,25,1,0,1,0
"48",20,3000,2,3,2000,-0.5,25,25,1,0,1,0
"49",20,3000,2,0,2000,-0.5,50,25,1,0,1,0
"50",20,3000,2,1,2000,-0.5,50,25,1,0,1,0
"51",20,3000,2,2,2000,-0.5,50,25,1,0,1,0
"52",20,3000,2,3,2000,-0.5,50,25,1,0,1,0
"53",20,3000,2,0,2000,-0.5,75,25,1,0,1,0
"54",20,3000,2,1,2000,-0.5,75,25,1,0,1,0
"55",20,3000,2,2,2000,-0.5,75,25,1,0,1,0
"56",20,3000,2,3,2000,-0.5,75,25,1,0,1,0
"57",20,3000,2,0,2000,0.5,75,0,1,0.0389721769528842,1,0.132844821095703
"58",20,3000,2,1,2000,0.5,75,0,1,0.0030881988971761,1,0.00380518651910834
"59",20,3000,2,2,2000,0.5,75,0,1,0,1,0
"60",20,3000,2,3,2000,0.5,75,0,0.959860189222316,0.0396596422877233,0.919720378444632,0.0772193595637134
"61",20,3000,2,0,2000,0.5,75,10,1,0.0121243268338455,1,0.0374678900956118
"62",20,3000,2,1,2000,0.5,75,10,1,0.0150267531290595,1,0.0254241854006254
"63",20,3000,2,2,2000,0.5,75,10,0.97795128477259,0.0220487152274103,0.955902569545179,0.0351473672931706
"64",20,3000,2,3,2000,0.5,75,10,0.736790604201502,0.00901355991277407,0.315472947615192,0.0165287957944067
"65",20,3000,2,0,2000,0.5,75,25,1,0.0213446218984663,1,0.0780968939319391
"66",20,3000,2,1,2000,0.5,75,25,1,0.00194958412620993,1,0.00265272577486145
"67",20,3000,2,2,2000,0.5,75,25,1,0,1,0
"68",20,3000,2,3,2000,0.5,75,25,0.869208113456843,0.0069128561644451,0.738416226913686,0.0276115055450999
"69",20,3000,2,0,2000,0.5,75,50,1,0.0378481063269557,1,0.231953415822128
"70",20,3000,2,1,2000,0.5,75,50,1,0.00176619353714866,1,0.00179296503942763
"71",20,3000,2,2,2000,0.5,75,50,0.620536996631043,0.758926006737914,0.241073993262087,0.758926006737914
"72",20,3000,2,2,2000,0.5,75,50,1,0,1,0
"73",20,3000,2,0,2000,0.5,75,75,1,0.0157597378702062,1,0.0254837140675197
"74",20,3000,2,1,2000,0.5,75,75,1,0.0396786892058657,1,0.127181305568324
"75",20,3000,2,2,2000,0.5,75,75,0.199855548887223,0.160698295073646,0.199855548887223,0.541930735083354
