"","Nyears","startPop","noise","nbreaksin","startK","startR","changeK","changeR","rightweight","wrongweight","rightmin","wrongmax"
"1",15,3000,2,0,2000,2,75,25,1,0.24113479493995,1,0.616046019072241
"2",15,3000,2,1,2000,2,75,25,1,0,1,0
"3",15,3000,2,2,2000,2,75,25,0.970745913631067,0.0585081727378652,0.941491827262135,0.0585081727378652
"4",15,3000,2,2,2000,2,75,25,1,0,1,0
"5",20,3000,2,0,2000,2,75,25,1,0.0706976459814181,1,0.828453027464348
"6",20,3000,2,1,2000,2,75,25,1,1,1,1
"7",20,3000,2,2,2000,2,75,25,1,0,1,0
"8",20,3000,2,3,2000,2,75,25,1,0.498975353199556,1,0.975838656486978
"9",25,3000,2,0,2000,2,75,25,1,0.0387380076256909,1,0.17515460809966
"10",25,3000,2,1,2000,2,75,25,1,0.0115711614839021,1,0.0280501819330324
"11",25,3000,2,2,2000,2,75,25,0.867403837090506,0.0895900141191028,0.734807674181013,0.265192325818987
"12",25,3000,2,3,2000,2,75,25,0.801009378153338,0.596971865539985,0.403028134460014,0.596971865539985
"13",30,3000,2,0,2000,2,75,25,1,0.0835946789874908,1,0.774840537106981
"14",30,3000,2,1,2000,2,75,25,1,0.0207487210730253,1,0.0687926567678227
"15",30,3000,2,2,2000,2,75,25,1,0.235478417813247,1,0.864052433962861
"16",30,3000,2,3,2000,2,75,25,1,0.994680934086275,1,0.994680934086275
"17",20,3000,2,0,2000,-0.5,75,0,1,0,1,0
"18",20,3000,2,1,2000,-0.5,75,0,1,0,1,0
"19",20,3000,2,2,2000,-0.5,75,0,1,0,1,0
"20",20,3000,2,3,2000,-0.5,75,0,1,0,1,0
"21",20,3000,2,0,2000,-0.5,75,10,1,0,1,0
"22",20,3000,2,1,2000,-0.5,75,10,1,0,1,0
"23",20,3000,2,2,2000,-0.5,75,10,1,0,1,0
"24",20,3000,2,3,2000,-0.5,75,10,1,0,1,0
"25",20,3000,2,0,2000,-0.5,75,25,1,0,1,0
"26",20,3000,2,1,2000,-0.5,75,25,1,0,1,0
"27",20,3000,2,2,2000,-0.5,75,25,1,0,1,0
