"","Nyears","startPop","noise","nbreaksin","startK","startR","changeK","changeR","rightweight","wrongweight","rightmin","wrongmax"
"1",15,3000,2,0,2000,2,75,25,1,0.00707649794906307,1,0.0220285101564029
"2",15,3000,2,1,2000,2,75,25,1,0,1,0
"3",15,3000,2,2,2000,2,75,25,0.992556491513507,0.014887016972987,0.985112983027013,0.014887016972987
"4",15,3000,2,1,2000,2,75,25,1,0,1,0
"5",20,3000,2,0,2000,2,75,25,1,0.00989901086709855,1,0.0280273272530422
"6",20,3000,2,1,2000,2,75,25,1,0.00289218780895964,1,0.00416402985099925
"7",20,3000,2,2,2000,2,75,25,1,0,1,0
"8",20,3000,2,2,2000,2,75,25,1,0,1,0
"9",25,3000,2,0,2000,2,75,25,1,0.0996767908851527,1,0.332179720712827
"10",25,3000,2,1,2000,2,75,25,1,0.242746202298614,1,0.707930953880178
"11",25,3000,2,2,2000,2,75,25,0.997343026344573,0.0704877915387851,0.994686052689146,0.203513758838847
"12",25,3000,2,3,2000,2,75,25,1,0,1,0
"13",30,3000,2,0,2000,2,75,25,1,0.0745827712418506,1,0.677176373157499
"14",30,3000,2,1,2000,2,75,25,1,0.093829239986082,1,0.908432925741391
"15",30,3000,2,2,2000,2,75,25,1,0.333333333333333,1,0.516796082185575
"16",30,3000,2,3,2000,2,75,25,1,0.0162077993070674,1,0.0395048097168048
"17",20,3000,2,0,2000,-0.5,75,0,1,0,1,0
"18",20,3000,2,1,2000,-0.5,75,0,1,0,1,0
"19",20,3000,2,2,2000,-0.5,75,0,1,0,1,0
"20",20,3000,2,2,2000,-0.5,75,0,1,0,1,0
"21",20,3000,2,0,2000,-0.5,75,10,1,0,1,0
"22",20,3000,2,1,2000,-0.5,75,10,1,0,1,0
"23",20,3000,2,2,2000,-0.5,75,10,1,0,1,0
"24",20,3000,2,3,2000,-0.5,75,10,1,0,1,0
"25",20,3000,2,0,2000,-0.5,75,25,1,0,1,0
"26",20,3000,2,1,2000,-0.5,75,25,1,0,1,0
"27",20,3000,2,2,2000,-0.5,75,25,1,0,1,0
"28",20,3000,2,3,2000,-0.5,75,25,1,0,1,0
"29",20,3000,2,0,2000,-0.5,75,50,1,0,1,0
"30",20,3000,2,1,2000,-0.5,75,50,1,0,1,0
"31",20,3000,2,2,2000,-0.5,75,50,1,0,1,0
"32",20,3000,2,3,2000,-0.5,75,50,1,0,1,0
"33",20,3000,2,0,2000,-0.5,75,75,1,0,1,0
"34",20,3000,2,1,2000,-0.5,75,75,1,0,1,0
"35",20,3000,2,2,2000,-0.5,75,75,1,0,1,0
"36",20,3000,2,2,2000,-0.5,75,75,1,0,1,0
"37",20,3000,2,0,2000,-0.5,0,25,1,0,1,0
"38",20,3000,2,1,2000,-0.5,0,25,1,0,1,0
"39",20,3000,2,2,2000,-0.5,0,25,1,0,1,0
"40",20,3000,2,3,2000,-0.5,0,25,1,0,1,0
"41",20,3000,2,0,2000,-0.5,10,25,1,0,1,0
"42",20,3000,2,1,2000,-0.5,10,25,1,0,1,0
"43",20,3000,2,2,2000,-0.5,10,25,1,0,1,0
"44",20,3000,2,3,2000,-0.5,10,25,1,0,1,0
"45",20,3000,2,0,2000,-0.5,25,25,1,0,1,0
"46",20,3000,2,1,2000,-0.5,25,25,1,0,1,0
"47",20,3000,2,2,2000,-0.5,25,25,1,0,1,0
"48",20,3000,2,3,2000,-0.5,25,25,1,0,1,0
"49",20,3000,2,0,2000,-0.5,50,25,1,0,1,0
"50",20,3000,2,1,2000,-0.5,50,25,1,0,1,0
"51",20,3000,2,2,2000,-0.5,50,25,1,0,1,0
"52",20,3000,2,3,2000,-0.5,50,25,1,0,1,0
"53",20,3000,2,0,2000,-0.5,75,25,1,0,1,0
"54",20,3000,2,1,2000,-0.5,75,25,1,0,1,0
"55",20,3000,2,2,2000,-0.5,75,25,1,0,1,0
"56",20,3000,2,3,2000,-0.5,75,25,1,0,1,0
"57",20,3000,2,0,2000,0.5,75,0,1,0.067611524331153,1,0.284209770170162
"58",20,3000,2,1,2000,0.5,75,0,1,0,1,0
"59",20,3000,2,2,2000,0.5,75,0,1,0,1,0
"60",20,3000,2,3,2000,0.5,75,0,1,0,1,0
"61",20,3000,2,0,2000,0.5,75,10,1,0.0524457890624452,1,0.395741318561123
"62",20,3000,2,1,2000,0.5,75,10,1,0.00620807289840248,1,0.0284382208970588
"63",20,3000,2,2,2000,0.5,75,10,1,0,1,0
"64",20,3000,2,3,2000,0.5,75,10,0.670569998114856,0,0.0117099943445677,0
"65",20,3000,2,0,2000,0.5,75,25,1,0.00964569078453092,1,0.0287696331776668
"66",20,3000,2,1,2000,0.5,75,25,0.997683885865253,0.0455381338682971,0.997683885865253,0.219324002937226
"67",20,3000,2,2,2000,0.5,75,25,1,0,1,0
"68",20,3000,2,3,2000,0.5,75,25,0.352352011485599,0.164435768775842,0.01117158175582,0.914181646236984
"69",20,3000,2,0,2000,0.5,75,50,1,0.0319658780277132,1,0.214745105757333
"70",20,3000,2,1,2000,0.5,75,50,1,0.00134399920196106,1,0.00164289585301887
"71",20,3000,2,2,2000,0.5,75,50,1,0.00106251016113658,1,0.00106251016113658
"72",20,3000,2,2,2000,0.5,75,50,1,0,1,0
"73",20,3000,2,0,2000,0.5,75,75,1,0.090220600233056,1,0.547326610117384
"74",20,3000,2,1,2000,0.5,75,75,0.0111134141655009,0.310581972593766,0.0111134141655009,0.960978100430287
"75",20,3000,2,2,2000,0.5,75,75,1,0.193972465960054,1,0.374392847791638
"76",20,3000,2,3,2000,0.5,75,75,0.997847114564672,0.0043057708706554,0.995694229129345,0.0043057708706554
"77",20,3000,2,0,2000,0.5,0,25,1,0.0255381767140871,1,0.111729300932672
"78",20,3000,2,1,2000,0.5,0,25,0.014285269880205,0.0718411801213999,0.014285269880205,0.488894660323045
"79",20,3000,2,2,2000,0.5,0,25,0.00288552427518317,0.0599552837023001,0.00173541450961902,0.522995192802331
"80",20,3000,2,3,2000,0.5,0,25,0.040782813636631,0.0587803157542279,0.00867997352815843,0.147904681583898
"81",20,3000,2,0,2000,0.5,10,25,1,0.00753370124269396,1,0.0308793738155401
"82",20,3000,2,1,2000,0.5,10,25,0.890104255454121,0.00673119875869621,0.890104255454121,0.0264146498951446
"83",20,3000,2,2,2000,0.5,10,25,0.623652896692917,0.0109668695498365,0.293843891434712,0.0257118165129481
"84",20,3000,2,3,2000,0.5,10,25,0.0389053781899133,0.195521863743838,0.00217276399642608,0.966895670653628
"85",20,3000,2,0,2000,0.5,25,25,1,0.0416734065643143,1,0.461661351265682
"86",20,3000,2,1,2000,0.5,25,25,1,0.00346364225496328,1,0.00346364225496328
"87",20,3000,2,2,2000,0.5,25,25,0.980435923823025,0.0130427174513165,0.96087184764605,0.0239097310686753
"88",20,3000,2,3,2000,0.5,25,25,0.780982528369853,0,0.359391491754813,0
"89",20,3000,2,0,2000,0.5,50,25,1,0.0493106432427146,1,0.17261929689258
"90",20,3000,2,1,2000,0.5,50,25,0.981440338105132,0.00817452491191325,0.981440338105132,0.024202522247859
"91",20,3000,2,2,2000,0.5,50,25,0.999431502852098,0.00113699429580485,0.998863005704195,0.00113699429580485
"92",20,3000,2,3,2000,0.5,50,25,0.791659974058577,0.0172768726475058,0.398685775389553,0.0172768726475058
"93",20,3000,2,0,2000,0.5,75,25,1,0.100693229651105,1,0.767977991952967
"94",20,3000,2,1,2000,0.5,75,25,1,0.00169525931017648,1,0.00281397474491367
"95",20,3000,2,2,2000,0.5,75,25,1,0,1,0
"96",20,3000,2,3,2000,0.5,75,25,0.981582105172727,0.0184178948272726,0.963164210345455,0.0354635334113007
"97",20,3000,2,0,2000,1,75,0,1,0.047933288945139,1,0.503040358602665
"98",20,3000,2,1,2000,1,75,0,1,0.00185058803397672,1,0.00276645108013988
"99",20,3000,2,2,2000,1,75,0,1,0,1,0
"100",20,3000,2,2,2000,1,75,0,1,0,1,0
"101",20,3000,2,0,2000,1,75,10,1,0.0415402345959482,1,0.260105819780637
"102",20,3000,2,1,2000,1,75,10,1,0.00683036916913234,1,0.0227735618991697
"103",20,3000,2,2,2000,1,75,10,1,0,1,0
"104",20,3000,2,3,2000,1,75,10,1,0,1,0
"105",20,3000,2,0,2000,1,75,25,1,0.027937599059635,1,0.17338590714467
"106",20,3000,2,1,2000,1,75,25,1,0.00154444735522686,1,0.00219258996980691
"107",20,3000,2,2,2000,1,75,25,1,0,1,0
"108",20,3000,2,2,2000,1,75,25,1,0,1,0
"109",20,3000,2,0,2000,1,75,50,1,0.040736117428301,1,0.369260382615381
"110",20,3000,2,1,2000,1,75,50,1,0.0437365963881859,1,0.0933645017816091
"111",20,3000,2,2,2000,1,75,50,1,0,1,0
"112",20,3000,2,3,2000,1,75,50,1,0,1,0
"113",20,3000,2,0,2000,1,75,75,1,0.00818236197660791,1,0.0142756958546047
"114",20,3000,2,1,2000,1,75,75,1,0.00664176700355281,1,0.00765441219242352
"115",20,3000,2,2,2000,1,75,75,0.999013949271022,0.00197210145795536,0.998027898542045,0.00197210145795536
"116",20,3000,2,2,2000,1,75,75,1,0,1,0
"117",20,3000,2,0,2000,1,0,25,1,0.0641211910016693,1,0.327332483765838
"118",20,3000,2,1,2000,1,0,25,0.0630922765965405,0.0364213643611792,0.0630922765965405,0.21792077632571
"119",20,3000,2,2,2000,1,0,25,0.506647380717144,0.0345781001969408,0.506647380717144,0.0980848902920681
"120",20,3000,2,3,2000,1,0,25,0.156457946131843,0.0626306254058661,0.00648816972545543,0.171095057860255
"121",20,3000,2,0,2000,1,10,25,1,0.0111938952321163,1,0.0275603549917885
"122",20,3000,2,1,2000,1,10,25,1,0,1,0
"123",20,3000,2,2,2000,1,10,25,0.214807814208019,0.0587302692579799,0.206319476580624,0.232010386441989
"124",20,3000,2,3,2000,1,10,25,0.283458505072676,0.0425165968610344,0.0508235665923415,0.175304871447271
"125",20,3000,2,0,2000,1,25,25,1,0.0152232067345559,1,0.0877796409429766
"126",20,3000,2,1,2000,1,25,25,0.997560079850026,0.00243992014997348,0.997560079850026,0.00243992014997348
"127",20,3000,2,2,2000,1,25,25,1,0,1,0
"128",20,3000,2,2,2000,1,25,25,1,0,1,0
"129",20,3000,2,0,2000,1,50,25,1,0.00982635741062323,1,0.0350924560839109
"130",20,3000,2,1,2000,1,50,25,1,0.00856477552988999,1,0.0333681425905326
"131",20,3000,2,2,2000,1,50,25,1,0,1,0
"132",20,3000,2,3,2000,1,50,25,1,0,1,0
"133",20,3000,2,0,2000,1,75,25,1,0.0316731833870136,1,0.110315631956592
"134",20,3000,2,1,2000,1,75,25,1,0.0134647599298754,1,0.0315628044930306
"135",20,3000,2,2,2000,1,75,25,1,0,1,0
"136",20,3000,2,3,2000,1,75,25,0.999208627201081,0.00237411839675648,0.997625881603244,0.00237411839675648
"137",20,3000,2,0,2000,1.5,75,0,1,0.0306948356989513,1,0.287979488458803
"138",20,3000,2,1,2000,1.5,75,0,1,0.00886404789979282,1,0.0101597573332898
"139",20,3000,2,2,2000,1.5,75,0,1,0.00325890830303326,1,0.00334501745423632
"140",20,3000,2,3,2000,1.5,75,0,1,0,1,0
"141",20,3000,2,0,2000,1.5,75,10,1,0.0938880821750517,1,0.577265638481851
"142",20,3000,2,1,2000,1.5,75,10,1,0.00730623660600182,1,0.0158848252947498
"143",20,3000,2,2,2000,1.5,75,10,1,0,1,0
"144",20,3000,2,3,2000,1.5,75,10,0.998715664255728,0,0.996146992767184,0
"145",20,3000,2,0,2000,1.5,75,25,1,0.0193576849126725,1,0.030121138674657
