"","Nyears","startPop","noise","nbreaksin","startK","startR","changeK","changeR","rightweight","wrongweight","rightmin","wrongmax"
"1",15,3000,2,0,2000,2,75,25,1,0.204291467684138,1,0.686368282248564
"2",15,3000,2,1,2000,2,75,25,1,0.308816464575421,1,0.751384664335441
"3",15,3000,2,1,2000,2,75,25,1,0.988355381124528,1,0.988355381124528
"4",15,3000,2,2,2000,2,75,25,1,0,1,0
"5",20,3000,2,0,2000,2,75,25,1,0.166617479785223,1,0.735504538789534
"6",20,3000,2,1,2000,2,75,25,1,0.224394799482889,1,0.983145356649344
"7",20,3000,2,2,2000,2,75,25,1,0.187452074245394,1,0.273504345998497
"8",20,3000,2,2,2000,2,75,25,1,0,1,0
"9",25,3000,2,0,2000,2,75,25,1,0.181870790891007,1,1
"10",25,3000,2,1,2000,2,75,25,1,0.13027370796428,1,0.319493582426531
"11",25,3000,2,2,2000,2,75,25,1,0.156897298936093,1,0.29930690507557
"12",25,3000,2,3,2000,2,75,25,1,0.235842866471329,1,0.666636028717355
"13",30,3000,2,0,2000,2,75,25,1,0.444095318170456,1,1
"14",30,3000,2,1,2000,2,75,25,1,0.185341789867673,1,1
"15",30,3000,2,2,2000,2,75,25,1,0.222223558523709,1,0.921459814413971
"16",30,3000,2,3,2000,2,75,25,1,0.376318127453388,1,0.902385503669711
"17",20,3000,2,0,2000,-0.5,75,0,1,0,1,0
"18",20,3000,2,1,2000,-0.5,75,0,1,0,1,0
"19",20,3000,2,2,2000,-0.5,75,0,1,0,1,0
"20",20,3000,2,3,2000,-0.5,75,0,1,0,1,0
"21",20,3000,2,0,2000,-0.5,75,10,1,0,1,0
"22",20,3000,2,1,2000,-0.5,75,10,1,0,1,0
"23",20,3000,2,2,2000,-0.5,75,10,1,0,1,0
"24",20,3000,2,3,2000,-0.5,75,10,1,0,1,0
"25",20,3000,2,0,2000,-0.5,75,25,1,0,1,0
"26",20,3000,2,1,2000,-0.5,75,25,1,0,1,0
"27",20,3000,2,2,2000,-0.5,75,25,1,0,1,0
"28",20,3000,2,3,2000,-0.5,75,25,1,0,1,0
"29",20,3000,2,0,2000,-0.5,75,50,1,0,1,0
"30",20,3000,2,1,2000,-0.5,75,50,1,0,1,0
"31",20,3000,2,2,2000,-0.5,75,50,1,0,1,0
"32",20,3000,2,3,2000,-0.5,75,50,1,0,1,0
"33",20,3000,2,0,2000,-0.5,75,75,1,0,1,0
"34",20,3000,2,1,2000,-0.5,75,75,1,0,1,0
"35",20,3000,2,2,2000,-0.5,75,75,1,0,1,0
"36",20,3000,2,3,2000,-0.5,75,75,1,0,1,0
"37",20,3000,2,0,2000,-0.5,0,25,1,0,1,0
"38",20,3000,2,1,2000,-0.5,0,25,1,0,1,0
"39",20,3000,2,2,2000,-0.5,0,25,1,0,1,0
"40",20,3000,2,3,2000,-0.5,0,25,1,0,1,0
"41",20,3000,2,0,2000,-0.5,10,25,1,0,1,0
"42",20,3000,2,1,2000,-0.5,10,25,1,0,1,0
"43",20,3000,2,2,2000,-0.5,10,25,1,0,1,0
"44",20,3000,2,3,2000,-0.5,10,25,1,0,1,0
"45",20,3000,2,0,2000,-0.5,25,25,1,0,1,0
"46",20,3000,2,1,2000,-0.5,25,25,1,0,1,0
"47",20,3000,2,2,2000,-0.5,25,25,1,0,1,0
"48",20,3000,2,3,2000,-0.5,25,25,1,0,1,0
"49",20,3000,2,0,2000,-0.5,50,25,1,0,1,0
"50",20,3000,2,1,2000,-0.5,50,25,1,0,1,0
"51",20,3000,2,2,2000,-0.5,50,25,1,0,1,0
"52",20,3000,2,3,2000,-0.5,50,25,1,0,1,0
"53",20,3000,2,0,2000,-0.5,75,25,1,0,1,0
"54",20,3000,2,1,2000,-0.5,75,25,1,0,1,0
"55",20,3000,2,2,2000,-0.5,75,25,1,0,1,0
"56",20,3000,2,3,2000,-0.5,75,25,1,0,1,0
"57",20,3000,2,0,2000,0.5,75,0,1,0.221156303338741,1,0.940176396195286
"58",20,3000,2,1,2000,0.5,75,0,1,0.219958671227469,1,0.992932386303123
"59",20,3000,2,2,2000,0.5,75,0,1,0.322120530066364,1,0.483482721508372
"60",20,3000,2,3,2000,0.5,75,0,1,0.379476184594604,1,0.379476184594604
"61",20,3000,2,0,2000,0.5,75,10,1,0.185910893316209,1,0.984889590014535
"62",20,3000,2,1,2000,0.5,75,10,1,0.144287568080958,1,0.413834211665256
"63",20,3000,2,2,2000,0.5,75,10,0.825091069054021,0.282639655114946,0.650182138108042,0.349817861891958
"64",20,3000,2,2,2000,0.5,75,10,0.993637571319302,0.00596937320367704,0.987275142638603,0.00725060551284099
"65",20,3000,2,0,2000,0.5,75,25,1,0.154218120454243,1,0.516139717021604
"66",20,3000,2,1,2000,0.5,75,25,1,0.182454666341014,1,0.393031180268401
"67",20,3000,2,2,2000,0.5,75,25,1,0.68672022943047,1,0.93073207575941
"68",20,3000,2,3,2000,0.5,75,25,1,0,1,0
"69",20,3000,2,0,2000,0.5,75,50,1,0.169126347217906,1,0.694331741534209
"70",20,3000,2,1,2000,0.5,75,50,0.945946665881904,0.131038838515719,0.945946665881904,0.306080945308186
"71",20,3000,2,2,2000,0.5,75,50,1,0.287960278116666,1,0.287960278116666
"72",20,3000,2,3,2000,0.5,75,50,1,0,1,0
"73",20,3000,2,0,2000,0.5,75,75,1,0.189592160157711,1,0.980752430080177
"74",20,3000,2,1,2000,0.5,75,75,1,0.294693479799272,1,0.81550147212216
"75",20,3000,2,2,2000,0.5,75,75,1,0.105819302110246,1,0.14587076313501
"76",20,3000,2,3,2000,0.5,75,75,0.918023726821126,0.387199841048621,0.836047453642253,0.997646976788117
"77",20,3000,2,0,2000,0.5,0,25,1,0.166231417330322,1,0.863586092129523
"78",20,3000,2,1,2000,0.5,0,25,0.0327909894042157,0.129996484932441,0.0327909894042157,0.689348458862249
"79",20,3000,2,2,2000,0.5,0,25,0.270294589546286,0.108177950621571,0.113717350124003,0.346208563595764
"80",20,3000,2,3,2000,0.5,0,25,0.112636559810711,0.184536177695135,0.0667060636259294,0.583372130915657
"81",20,3000,2,0,2000,0.5,10,25,1,0.16653317252375,1,0.416967986848966
"82",20,3000,2,1,2000,0.5,10,25,0.994796904116657,0.19678804837829,0.994796904116657,0.962831194258763
"83",20,3000,2,2,2000,0.5,10,25,0.0269704041714417,0.36531577941598,0.0120783751938006,0.997760776902584
"84",20,3000,2,3,2000,0.5,10,25,0.341228001934478,0.228970629522731,0.00111856772433791,0.897751028464344
"85",20,3000,2,0,2000,0.5,25,25,1,0.173954897579954,1,0.56108265576566
"86",20,3000,2,1,2000,0.5,25,25,0.636010118577585,0.134372337552564,0.636010118577585,0.401116654724985
"87",20,3000,2,2,2000,0.5,25,25,0.985212467896331,0.120844682996108,0.970424935792663,0.330223434906569
"88",20,3000,2,2,2000,0.5,25,25,0.502360876577914,0.316406802129671,0.00472175315582708,0.628462419404411
"89",20,3000,2,0,2000,0.5,50,25,1,0.22410796429173,1,0.727980525722935
"90",20,3000,2,1,2000,0.5,50,25,1,0.243811866748164,1,0.855216404595273
"91",20,3000,2,2,2000,0.5,50,25,1,0.251937173508336,1,0.251937173508336
"92",20,3000,2,3,2000,0.5,50,25,1,0,1,0
"93",20,3000,2,0,2000,0.5,75,25,1,0.205544297484187,1,0.938514209033625
"94",20,3000,2,1,2000,0.5,75,25,0.997104808731486,0.206337386586593,0.997104808731486,0.733766580715428
"95",20,3000,2,2,2000,0.5,75,25,0.959434177237596,0.125348342040198,0.918868354475193,0.657629561090263
"96",20,3000,2,3,2000,0.5,75,25,0.89824724512003,0.0748094269309023,0.803307219148402,0.433234563687718
"97",20,3000,2,0,2000,1,75,0,1,0.167502445728656,1,0.610422855855326
"98",20,3000,2,1,2000,1,75,0,1,0.112189702377766,1,0.24173419331898
"99",20,3000,2,2,2000,1,75,0,1,0,1,0
