"","Nyears","startPop","noise","nbreaksin","startK","startR","changeK","changeR","rightweight","wrongweight","rightmin","wrongmax"
"1",15,3000,2,0,2000,2,75,25,1,0.166890986401994,1,0.308195753492563
"2",15,3000,2,1,2000,2,75,25,1,0.206579299725925,1,0.292833269946155
"3",15,3000,2,2,2000,2,75,25,1,0,1,0
"4",15,3000,2,2,2000,2,75,25,1,0,1,0
"5",20,3000,2,0,2000,2,75,25,1,0.119761450429216,1,0.326652374717442
"6",20,3000,2,1,2000,2,75,25,1,0.31859223269838,1,0.780213087056323
"7",20,3000,2,2,2000,2,75,25,0.992353661120159,0.0152926777596829,0.984707322240317,0.0152926777596829
"8",20,3000,2,3,2000,2,75,25,1,0,1,0
"9",25,3000,2,0,2000,2,75,25,1,0.214448552256104,1,0.856373721371379
"10",25,3000,2,1,2000,2,75,25,0.996588371549002,0.222789598840847,0.996588371549002,0.764392330617557
"11",25,3000,2,2,2000,2,75,25,1,0.199900620628122,1,0.540797637730607
"12",25,3000,2,3,2000,2,75,25,0.785748304524346,0.321377543213481,0.358808048556131,0.641191951443869
"13",30,3000,2,0,2000,2,75,25,1,0.223577172793325,1,0.89609877843502
"14",30,3000,2,1,2000,2,75,25,0.998897058632552,0.293074528232333,0.998897058632552,0.872336048942575
"15",30,3000,2,2,2000,2,75,25,1,0.164827804188618,1,0.598446267732078
"16",30,3000,2,3,2000,2,75,25,0.987543145847627,0.249514060385703,0.962629437542881,0.618310330724584
"17",20,3000,2,0,2000,-0.5,75,0,1,0,1,0
"18",20,3000,2,1,2000,-0.5,75,0,1,0,1,0
"19",20,3000,2,2,2000,-0.5,75,0,1,0,1,0
"20",20,3000,2,3,2000,-0.5,75,0,1,0,1,0
"21",20,3000,2,0,2000,-0.5,75,10,1,0,1,0
"22",20,3000,2,1,2000,-0.5,75,10,1,0,1,0
"23",20,3000,2,2,2000,-0.5,75,10,1,0,1,0
"24",20,3000,2,3,2000,-0.5,75,10,1,0,1,0
"25",20,3000,2,0,2000,-0.5,75,25,1,0,1,0
"26",20,3000,2,1,2000,-0.5,75,25,1,0,1,0
"27",20,3000,2,2,2000,-0.5,75,25,1,0,1,0
"28",20,3000,2,3,2000,-0.5,75,25,1,0,1,0
"29",20,3000,2,0,2000,-0.5,75,50,1,0,1,0
"30",20,3000,2,1,2000,-0.5,75,50,1,0,1,0
"31",20,3000,2,2,2000,-0.5,75,50,1,0,1,0
"32",20,3000,2,3,2000,-0.5,75,50,1,0,1,0
"33",20,3000,2,0,2000,-0.5,75,75,1,0,1,0
"34",20,3000,2,1,2000,-0.5,75,75,1,0,1,0
"35",20,3000,2,2,2000,-0.5,75,75,1,0,1,0
"36",20,3000,2,3,2000,-0.5,75,75,1,0,1,0
"37",20,3000,2,0,2000,-0.5,0,25,1,0,1,0
"38",20,3000,2,1,2000,-0.5,0,25,1,0,1,0
"39",20,3000,2,2,2000,-0.5,0,25,1,0,1,0
"40",20,3000,2,3,2000,-0.5,0,25,1,0,1,0
"41",20,3000,2,0,2000,-0.5,10,25,1,0,1,0
"42",20,3000,2,1,2000,-0.5,10,25,1,0,1,0
"43",20,3000,2,2,2000,-0.5,10,25,1,0,1,0
"44",20,3000,2,3,2000,-0.5,10,25,1,0,1,0
"45",20,3000,2,0,2000,-0.5,25,25,1,0,1,0
"46",20,3000,2,1,2000,-0.5,25,25,1,0,1,0
"47",20,3000,2,2,2000,-0.5,25,25,1,0,1,0
"48",20,3000,2,2,2000,-0.5,25,25,1,0,1,0
"49",20,3000,2,0,2000,-0.5,50,25,1,0,1,0
"50",20,3000,2,1,2000,-0.5,50,25,1,0,1,0
"51",20,3000,2,2,2000,-0.5,50,25,1,0,1,0
"52",20,3000,2,3,2000,-0.5,50,25,1,0,1,0
"53",20,3000,2,0,2000,-0.5,75,25,1,0,1,0
"54",20,3000,2,1,2000,-0.5,75,25,1,0,1,0
"55",20,3000,2,2,2000,-0.5,75,25,1,0,1,0
"56",20,3000,2,2,2000,-0.5,75,25,1,0,1,0
"57",20,3000,2,0,2000,0.5,75,0,1,0.174588444781561,1,0.542134220485099
"58",20,3000,2,1,2000,0.5,75,0,1,0.165864842087766,1,0.368318222308155
"59",20,3000,2,2,2000,0.5,75,0,1,0.123963457514407,1,0.139870966006405
"60",20,3000,2,3,2000,0.5,75,0,1,0,1,0
"61",20,3000,2,0,2000,0.5,75,10,1,0.144025914978837,1,0.768942251016705
"62",20,3000,2,1,2000,0.5,75,10,1,0.185834292038602,1,0.825387454344416
"63",20,3000,2,2,2000,0.5,75,10,0.999409774388431,0.28620621160749,0.998819548776861,0.856257732376194
"64",20,3000,2,3,2000,0.5,75,10,1,0,1,0
"65",20,3000,2,0,2000,0.5,75,25,1,0.126009089124693,1,0.465430934172627
"66",20,3000,2,1,2000,0.5,75,25,0.998685426171136,0.209383992332339,0.998685426171136,0.662220327539375
"67",20,3000,2,2,2000,0.5,75,25,1,0.486809409042177,1,0.6897507882808
"68",20,3000,2,2,2000,0.5,75,25,0.99934779247233,0.00130441505534007,0.99869558494466,0.00130441505534007
"69",20,3000,2,0,2000,0.5,75,50,1,0.200449629642448,1,0.887101594120061
"70",20,3000,2,1,2000,0.5,75,50,1,0.12719595365473,1,0.282381129241043
"71",20,3000,2,2,2000,0.5,75,50,1,0.327866771281007,1,0.499396058282943
"72",20,3000,2,3,2000,0.5,75,50,1,0.0790018790678023,1,0.0906347999260347
"73",20,3000,2,0,2000,0.5,75,75,1,0.163468887616533,1,0.667966106441909
"74",20,3000,2,1,2000,0.5,75,75,1,0.179229005918218,1,0.267067320500201
"75",20,3000,2,2,2000,0.5,75,75,1,0.303291333796308,1,0.673633710208149
"76",20,3000,2,2,2000,0.5,75,75,1,0.988931292057154,1,0.988931292057154
"77",20,3000,2,0,2000,0.5,0,25,1,0.131011995650228,1,0.372680028772151
"78",20,3000,2,1,2000,0.5,0,25,0.425727429865246,0.199010163352729,0.425727429865246,0.968115829595734
"79",20,3000,2,2,2000,0.5,0,25,0.0649918816265078,0.13040512610787,0.0354914094368046,0.263856605160086
"80",20,3000,2,3,2000,0.5,0,25,0.511466065465628,0.144348465560502,0.150947803759084,0.609573631314236
"81",20,3000,2,0,2000,0.5,10,25,1,0.152522996349862,1,0.441865794476589
"82",20,3000,2,1,2000,0.5,10,25,0.247113263558504,0.172961183986189,0.247113263558504,0.511705459226056
"83",20,3000,2,2,2000,0.5,10,25,0.446987402077528,0.139367362080435,0.233650736149097,0.650270801744164
"84",20,3000,2,2,2000,0.5,10,25,0.610159064639266,0.281440320446324,0.23993972511985,0.733600345642481
"85",20,3000,2,0,2000,0.5,25,25,1,0.262832826935821,1,0.967973060940241
